time,co2_emissions,T
2175,-0.941378648,1.1489648343624645
2176,-0.878620071,1.1519685926298684
2177,-0.815861495,1.1533108515854127
2178,-0.753102918,1.152109696821003
2179,-0.690344342,1.1491101107325616
2180,-0.627585765,1.145131793682081
2181,-0.564827189,1.1406887261622352
2182,-0.502068612,1.1362920706488415
2183,-0.439310036,1.1322883436198155
2184,-0.376551459,1.1292625116497859
2185,-0.313792883,1.12796275929306
2186,-0.251034306,1.1296228412202491
2187,-0.18827573,1.133029367925568
2188,-0.125517153,1.1366187920837136
2189,-0.062758577,1.1404386897781298
2190,0.0,1.142658875053343
2191,0.0,1.1422866462492247
2192,0.0,1.1404449781352795
2193,0.0,1.1382878868084374
2194,0.0,1.136447989541492
2195,0.0,1.1355472380170781
2196,0.0,1.1370919031929996
2197,0.0,1.1417030632114342
2198,0.0,1.1480005771278552
2199,0.0,1.153486671108074
2200,0.0,1.1566331540973507
2201,0.0,1.1569756199307215
2202,0.0,1.1554158732017639
2203,0.0,1.153266431457758
2204,0.0,1.1504499373573558
2205,0.0,1.1473151216985684
2206,0.0,1.1443220121105697
2207,0.0,1.142062423994844
2208,0.0,1.141681894053213
2209,0.0,1.1435036800366167
2210,0.0,1.1468545152219485
2211,0.0,1.1502697248271088
2212,0.0,1.152821454873795
2213,0.0,1.1538295834527617
2214,0.0,1.1533197618068431
2215,0.0,1.1511709209971879
2216,0.0,1.1475547304770495
2217,0.0,1.1439797589636083
2218,0.0,1.1412509925350809
2219,0.0,1.1402259017865108
2220,0.0,1.1418697616121227
2221,0.0,1.145699484109941
2222,0.0,1.151384461769156
2223,0.0,1.1565820782807048
2224,0.0,1.1586442535677006
2225,0.0,1.1579457557389665
2226,0.0,1.155018189470004
2227,0.0,1.1511225291279161
2228,0.0,1.1471732098500327
2229,0.0,1.1441251172003972
2230,0.0,1.143646235546622
2231,0.0,1.145444144443153
2232,0.0,1.1478572004655199
2233,0.0,1.150401314353573
2234,0.0,1.152123703513332
2235,0.0,1.152168732688723
2236,0.0,1.1502547296401657
2237,0.0,1.1469432704276563
2238,0.0,1.1434650604679808
2239,0.0,1.140444125884022
2240,0.0,1.1387891156575731
2241,0.0,1.1397945172295656
2242,0.0,1.1436210486072749
2243,0.0,1.1481263787033247
2244,0.0,1.151506710565229
2245,0.0,1.1526854145656675
2246,0.0,1.1512491671427136
2247,0.0,1.1484342949811697
2248,0.0,1.1448832246998015
2249,0.0,1.1407957646499485
2250,0.0,1.136693783904871
2251,0.0,1.132988658223071
2252,0.0,1.1304761765463123
2253,0.0,1.1300654051088426
2254,0.0,1.1320227418584572
2255,0.0,1.1348650916576155
2256,0.0,1.1374942279342182
2257,0.0,1.1394965369435786
2258,0.0,1.1398553387943289
2259,0.0,1.1386185857696183
2260,0.0,1.1358073831093465
2261,0.0,1.1318588693112803
2262,0.0,1.1282129003949075
2263,0.0,1.125566455789525
2264,0.0,1.124834775762318
2265,0.0,1.1269629508791572
2266,0.0,1.1313616298252755
2267,0.0,1.1370790840884746
2268,0.0,1.141257299230622
2269,0.0,1.1422427818335343
2270,0.0,1.1406908989327769
2271,0.0,1.1373932337674557
2272,0.0,1.1332671567565262
2273,0.0,1.129288015875633
2274,0.0,1.127041289210336
2275,0.0,1.1274023606325752
2276,0.0,1.1298040730887204
2277,0.0,1.1324731855537438
2278,0.0,1.1342622003506233
2279,0.0,1.1346841957426084
2280,0.0,1.1329974080978387
2281,0.0,1.1297617038254169
2282,0.0,1.1263079674937893
2283,0.0,1.1231967587479548
2284,0.0,1.1212494871887209
2285,0.0,1.1218714613843166
2286,0.0,1.125448664544589
2287,0.0,1.130277086267669
2288,0.0,1.1344352312332733
2289,0.0,1.1356589913960282
2290,0.0,1.1343579480272308
2291,0.0,1.1318658096383172
2292,0.0,1.1280754900932983
2293,0.0,1.1238005853377262
2294,0.0,1.1203547735693387
2295,0.0,1.1194407206904287
2296,0.0,1.1213442782564982
2297,0.0,1.1253849901933093
2298,0.0,1.1298038935309114
2299,0.0,1.1321441909914711
2300,0.0,1.131847221041009
